id,label,text_clean
5.69935e+17,negative, what is going on with customer service is there anyway to speak to a human asap thank you
5.69934e+17,neutral, what happened to doom
5.69934e+17,negative, why cant you supp the biz traveler like   and have customer service like  neverflyvirginforbusiness
5.69934e+17,positive, ive applied more then once to be a member of the inflight crew teamim 100 interested flightattendant dreampath g
5.69933e+17,negative, youre the best whenever i begrudgingly use any other airline im delayed and late flight
5.69933e+17,negative, i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness
5.69929e+17,negative, it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin
5.69927e+17,negative, im having trouble adding this flight my wife booked to my elevate account help
5.69923e+17,neutral, cant bring up my reservation online using flight booking problems code
5.69922e+17,neutral, random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share
5.69921e+17,neutral, i lt3 flying va but life happens and i am trying to change my trip jperhi  can you helpva home page will not let me
5.69919e+17,negative, why is the site down  when will it be back up
5.69916e+17,neutral, you down with rnp yeah you know me
5.69913e+17,neutral, hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
5.69912e+17,negative, i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday
5.69912e+17,negative, just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin
5.69911e+17,neutral, why is flight 345 redirected
5.69911e+17,negative, is it me or is your website down  btw your new website isnt a great user experience  time for another redesign
5.69909e+17,negative, i cant check in or add a bag your website isnt working ive tried both desktop and mobile
5.69907e+17,negative,  let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin uncomfortable
5.69897e+17,negative, what is your phone number i cant find who to call about a flight reservation
5.69894e+17,negative, is anyone doing anything there today  website is useless and no one is answering the phone
5.69894e+17,neutral, trying to add my boy prince to my ressie sf this thursday  from lax
5.69892e+17,negative, why must a traveler miss a flight to late flight check a bag  i missed my morning appointments and you lost my business sfo2lax
5.69891e+17,neutral, check out new music
5.69891e+17,negative, hows a direct flight fllgtsfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight sneaky
5.69887e+17,negative, your no late flight bag check just lost you my business i missed flight and am apt three other people on flight had same exp
5.69887e+17,positive,  amazing customer  service again  raeann in sf  shes the best customerservice  flying
5.69885e+17,negative, called your service line and was hung up on this is awesome sarcasm
5.69884e+17,negative, your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info
5.69882e+17,neutral, i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on
5.69874e+17,positive, has getaway deals through may from 59 oneway lots of cool cities  cheapflights farecompare
5.69874e+17,neutral, has getaway deals through may from 59 oneway lots of cool cities  cheapflights farecompare
5.69874e+17,positive, has getaway deals through may from 59 oneway lots of cool cities  cheapflights farecompare
5.69874e+17,neutral, has getaway deals through may from 59 oneway lots of cool cities  cheapflights farecompare
5.69872e+17,positive, have a great week
5.69861e+17,positive, come back to phl already we need you to take us out of this horrible cold pleasecomeback
5.69848e+17,negative, should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop
5.69814e+17,positive, is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience
5.69778e+17,positive, and again another rep kicked butt naelah represents your team so beautifully thank you
5.69774e+17,positive, your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure
5.6977e+17,positive, love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining
5.69748e+17,negative, use another browser 2015 amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website
5.69741e+17,negative, and now the flight flight booking problems site is totally down folks what is the problem
5.69738e+17,negative, i like the customer service but a 40 min delay just for connecting passengers seems too long va370
5.69714e+17,positive, thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight
5.69675e+17,positive, you have the absolute best team and customer service ever  every time i fly with you im delighted  thank you
5.69674e+17,neutral, do you provide complimentary upgrades to first class if there are available seats
5.69666e+17,negative, i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone im calling intern help
5.69652e+17,positive, completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue
5.69649e+17,neutral, how can i watch the oscars2015 on my jfkgtsfo flight
5.69643e+17,neutral, is flight 882 cancelled flightled and what do i do if it is
5.69643e+17,negative, you are failing your customers because your check in process does not link to tsa precheck
5.69634e+17,negative, fidifamilies us too terrible airline just gave us a hotel hotline number and said sorry
5.69634e+17,neutral, has flight number 276 from sfo to cabo san lucas arrived yet
5.69633e+17,negative, chrysichrysic your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline  shame on you
5.6963e+17,negative, another delayed flight likingyoulessandless
5.69627e+17,negative, i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise
5.69626e+17,positive, you rock for making it so i can watch oscars on my flight redcarpet oscars oscars2015
5.69626e+17,neutral, reallytallchris dropped a track on you
5.6962e+17,positive, always xoxo
5.6962e+17,negative, why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
5.69619e+17,negative, youd think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at sfo lame
5.69616e+17,positive, best customer service rep in the world irmafromdallas takes the cake
5.69615e+17,neutral, can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service
5.69614e+17,negative, please provide status for flight 769  i cant imagine its on time as the web indicates  dude to weather here andor dallas
5.69614e+17,positive, you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort
5.6961e+17,negative, i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face
5.69608e+17,negative, question is it not possible to book a seat for an infant under 2 its not giving me the option but we want a seat for him
5.696e+17,positive,always have it together youre welcome rt  jessicajaymes youre so welcome
5.69596e+17,positive, flight home to dc sunset globe in backtowinter back to work refreshed
5.69596e+17,negative, i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy
5.69594e+17,negative, does that mean you dont have a policy for destroyed luggage
5.69587e+17,neutral, is there special assistance if i travel alone w2 kids and 1 infant priority boarding
5.69581e+17,positive, thank you for checking in tickets are purchased and customer is happy
5.69576e+17,neutral, is your website ever coming back online
5.69575e+17,neutral,   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23
5.69575e+17,neutral, is flight 0769 out of lga to dfw on time
5.69575e+17,neutral, my drivers license is expired by a little over a month can i fly friday morning using my expired license
5.69573e+17,negative, having problems flight booking problems on the web site keeps giving me an error and to contact by phone  phone is 30 minute wait
5.69573e+17,negative, how do i reschedule my cancelled flightled flights online the change button is greyed out
5.69567e+17,negative, i rang but there is a wait for 35 minutes i can book the same ticket through a vendor fix your site
5.69565e+17,negative, got a flight we were told for 450 todaychecked my email and its for 450 tomorrow this is unacceptable
5.69565e+17,negative, our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today12
5.69562e+17,negative, why dont any of the pairings include red wine only white is offered  redwineisbetter
5.69541e+17,negative, is the website down
5.6954e+17,negative,  your site seems a little wonked right now may want to have a look tried on two browsers no css
5.69495e+17,negative, im disappointed that the agent at the designated silver status check in line dulles_airport closed to assist all pasengers
5.69482e+17,neutral, plans to include austin to its dallas route  topnews arab emirates
5.69478e+17,negative, is it normal to receive no reply from central baggage baggageissues smh
5.69461e+17,negative, at logan airport and waiting to checkin for my 9am flight checkin desk not open  why
5.6946e+17,neutral, to jump into the dallasaustin market  dallas_news
5.69452e+17,neutral, beats eps views takes on  va luv  investors business daily
5.69447e+17,neutral, lister to my show my on monday 1230 130
5.69429e+17,neutral, to begin dallasaustin flights in april  889 ketr
5.69369e+17,negative, congrats you just got all my business from ewr to sfolax fuck you  fl1289 sfoewr was the clincher
5.69368e+17,negative,  i applied over 2 weeks ago havent heard back and im flying this week disappointed
5.69356e+17,neutral, id love to know what your policy is for damaged luggage
5.69354e+17,positive, thank you for the follow
5.69351e+17,negative,  too many apologies you r the worse airlines dont even respond to your cudtomers
5.69349e+17,negative, shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me
5.69325e+17,neutral, ttinac11 i dm you
5.69323e+17,neutral, can you please have flights in  sjc  i have no choice but to fly southwest to vegas
5.69323e+17,negative, too bad you say it takes 10 to 14 days via your confirmation email when i inquired after 3 weeks you claim 6 to 8 weeks
5.69319e+17,negative, flight from bos gt las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline
5.69318e+17,positive,rt  youve met your match got status on another airline upgrade restr
5.69316e+17,positive, only way to fly elevate gold
5.69311e+17,neutral, if only you guys had flights from cmh
5.69311e+17,negative, a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever
5.69311e+17,negative,  for all my flight stuff wrong and did nothing about it had worst flight ever
5.69305e+17,neutral, having an issue finding a missing item on a plane can you help me find which airport my plane headed to next
5.69304e+17,positive, you will match my lines status cool
5.69304e+17,neutral,youve met your matchgot status on another airline upgrade   asarco_es_ar
5.69304e+17,negative, trying to book a flight with you guys and your website wont let me about to lose my business
5.69304e+17,negative, you suck
5.69298e+17,positive, thanks
5.6929e+17,negative, just dmd same issue persisting
5.69282e+17,negative, because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids
5.69278e+17,negative, trying to book a flight amp your site is down
5.69277e+17,negative, you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything
5.69264e+17,negative, you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed  expected better
5.69263e+17,positive, i love your guys song were dancing to it for our high school dance revue
5.69262e+17,negative, your website is down and im trying to check in
5.69261e+17,positive, done thank you for the quick response apparently faster than sitting on hold
5.69261e+17,neutral, nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me
5.69261e+17,positive, cool picture of another  plane off our wing what a site
5.69253e+17,positive, keep up the great work
5.69253e+17,positive, my goodness your people love field are amazing under pressure from texas beatstheothers in crisis please fly me to ny
5.6925e+17,positive, thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously
5.69248e+17,neutral, can you please get me to the new york area before monday afternoon
5.69248e+17,positive, thanks so much for the awesome support you guys rock
5.69248e+17,negative, seats in row 8 dont recline should mention that on your website soreback
5.69247e+17,negative, flight 404 delayed 2 hours in la due to mechanical problems handle like pros but you could have tossed us a free drink
5.69245e+17,negative, why cancelled flight flights today no precipitation to be scared of
5.6924e+17,positive, twitter team you guys killed it for rescheduling me asap thank you
5.69239e+17,negative, you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal
5.69237e+17,negative, cant access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook
5.69236e+17,neutral, on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight
5.69236e+17,negative, your mobile site is broken shows  headerelevateusernumofpointsavailable  0  number points wont let me checkin
5.69231e+17,negative, i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
5.6923e+17,negative, why cancelled flight flight vx413 one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule
5.69227e+17,negative, i did it but there was a problem in the link from the email for checkin thanks
5.69224e+17,negative, had to change to another airline to get to dc today  why is  able to land in dc but not you cost me 800 ugh
5.69224e+17,negative, i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one
5.69222e+17,positive, when are you putting some great deals from pdx to las or from las to pdx show me your love
5.69221e+17,positive, wish i can afford to fly with you next friday  going back home love everything  about your airline
5.69221e+17,negative,  how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad
5.6922e+17,neutral, its just a bug report guys
5.69219e+17,negative, hold times at call center are a bit much
5.69213e+17,positive, like
5.69212e+17,negative, site down help
5.6921e+17,positive, you have the best flight attendant ever
5.69208e+17,positive,awesome rt  watch nominated films at 35000 feet meetthefleet oscars
5.69205e+17,positive, thanks so much
5.69204e+17,negative, trying to reset my password email never arrives help
5.69203e+17,positive, the only airline based in silicon valley disruption fcmostinnovative incubator  fastcompanys
5.69202e+17,positive, very nicely done
5.69201e+17,positive, im looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink
5.69201e+17,negative, what is the reason  for the delay of the departure of vx 413 from jfk this afternoon
5.69199e+17,negative, is todays flight from palm springs ca to jfk in ny cancelled flightled
5.69198e+17,positive, hahaha  you guys are amazing i love you guys
5.69198e+17,positive, sounds like fun
5.69198e+17,neutral, any updates on flight 413 from jfk gt lax
5.69198e+17,neutral, spruce moose
5.69193e+17,negative, the css on your site is a 404 right now please fix site unusable
5.69182e+17,negative, were on flight 910 vegas to boston today checked in online but our bag count didnt register can i fix that somehow
5.69181e+17,positive, classiq luv virgin america greetingz
5.6918e+17,negative, hi im trying to do checkin but the website is not working i tried 3 different browsers and the problem continues
5.69177e+17,positive, thanks for your great customer service today amp for helping me get all my travel sorted out
5.69166e+17,positive, thanks guys sweet route over the rockies airplanemodewason
5.69111e+17,positive, love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee
5.69083e+17,negative,  the passenger in 7d flt 338 that assaulted me shouldnt have flown i trust hes banned crew filed report to faanews
5.69029e+17,negative, current bug on website shows select departure city when selecting destination city
5.69022e+17,negative, luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help
5.69021e+17,positive, thank you for the easy itinerary shift for impending weather quick painless amp free
5.69018e+17,neutral, if youd love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq
5.69012e+17,positive, thanks good times there and back vodkatonics the entire flightsfo
5.68989e+17,neutral, beats expectations shares take off  santa cruz sentinel
5.68977e+17,neutral, any plans to start flying direct from dal to las
5.68977e+17,neutral, big lovegratitudempower w  werin oscars2105 vipswagbags avalonhollywood
5.68972e+17,positive, youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up
5.68946e+17,negative, requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member
5.68945e+17,neutral, grand budapest hotel oscarscountdown
5.68943e+17,neutral, this is what you missed newsvp next trip to the 407
5.68942e+17,negative, wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
5.6894e+17,negative, there is something wrong with you website in safari iphone
5.6893e+17,positive, thanks for gate checking my baggage on your full flight dfwlax 883 and giving me early boarding too sweet
5.68929e+17,negative, already checked in so the page expired x
5.68929e+17,negative, boo for a not refunding a seat upgrade fee i did not want to buy in the first place
5.68929e+17,neutral, shares rise on q4 financial results  usa today
5.68926e+17,neutral, adds pillows instead of lieflat seats in first class arms race
5.68924e+17,positive, i see what you did there
5.68921e+17,neutral, way to take advantage of mayweatherpacquiao
5.6892e+17,neutral, you know im flying virgin for the fight mayweatherpacquiao
5.68911e+17,positive, your inflight team makes the experience amazing
5.68911e+17,positive, cutest salt and pepper shaker ever just when i think you guys cant get any better you just do
5.68902e+17,negative, moved my seat with no notice better seat is cabin select not behind the row i selected disappointed
5.68898e+17,neutral, shares up on 4q results  iol
5.68897e+17,positive, fav airline
5.6889e+17,positive, we have a hot female pilot sweet dca to sfo
5.6889e+17,neutral,when are you guys going to start flying to paris  lizautter youre welcome
5.68885e+17,neutral, what is your policy on flying after surgery  i am still waiting for answer so i can tell me doctor
5.68882e+17,negative, already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help
5.68875e+17,positive, thank you
5.68868e+17,negative, is there anything going on with the website ive been getting a lot of errors past 30 minutes
5.68867e+17,neutral, i think i left something on the plane yesterday who do i callah
5.68865e+17,neutral, i need you to follow back in order to dm
5.68865e+17,neutral, need to start flying to kciairport
5.68856e+17,neutral, they told to check with the airline regulation first so that is why i contacted you
5.68854e+17,negative, virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits
5.68851e+17,negative, husband and i ordered three drinks via my screen and they never came awesome
5.68851e+17,negative, soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence
5.68848e+17,neutral, what is your policy on flying after surgery
5.68846e+17,neutral, posts second consecutive fullyear net profit  atwonline
5.68841e+17,negative, funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this
5.68841e+17,positive, would love to do more for virgin just like i do for gopro
5.68838e+17,neutral, results handily exceed forecasts  nytimes
5.68838e+17,neutral, i applied for a position in flylaxairport and i was wondering if you guys received my application
5.68834e+17,neutral, achieves a second year of profitability despite revenue pressure   capa_aviation
5.6883e+17,neutral, gives positive outlook but sees increased competition  reuters
5.6883e+17,negative, im trying to check into my 1050am ct flight tmm on the desktop website and its not working some sort of caching bug sos
5.68829e+17,neutral, weather delays gt next few weeks  jfk bos dca
5.68828e+17,neutral, madbee95 check the website before you go to the airport
5.68825e+17,negative, do you guys know your checkin links from emails are broken
5.68824e+17,neutral, pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of about 5 degrees amp wthe windchill 8
5.68816e+17,positive, loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry
5.68812e+17,negative, lost my luggage 4 days ago on flight vx 112 from lax to iad amp im calling every day no responseplease give me back my stuff
5.68811e+17,negative, the flight booking problems section of your website seems to be broken on chrome might wanna look into that
5.68806e+17,positive, hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more
5.68804e+17,positive, i mean probably inappropriate while on board but its on
5.68802e+17,positive, happy to spend the day together lets do this
5.68801e+17,neutral, is saving my sanity right now
5.68795e+17,neutral, missed my flight how does standby work
5.68795e+17,positive, they were very understanding and helped me out  thx comps
5.68793e+17,neutral, brought it all the way across the country today i see
5.68791e+17,positive, thank you i absolutely will
5.6879e+17,negative, looks like a broken link for your assets
5.68782e+17,neutral, are you ready lets say it together noooo turbulence today
5.68776e+17,negative, the manage itinerary section of your website seems to be broken for me
5.6877e+17,negative, cant check in your site looks like this every time it loads
5.68735e+17,neutral, can u help this  freyabevan_fund needs urgent treatment in2y old battling cancer could u help with flights freyasfund
5.68689e+17,neutral, may start service to hawaii from sanfrancisco this year  biztravel
5.68663e+17,negative, other carriers are less than half price for a round trip fare i am stunned
5.68662e+17,negative, wtf is happening in pdx late flight march such that one way from sfo is 550
5.68646e+17,neutral, add dtw and im sold
5.68643e+17,positive, how about some free drinks on the flight back for the free promo
5.68633e+17,positive, ssal thanks
5.68632e+17,neutral, momma i made it
5.68631e+17,neutral, please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 9143290185
5.68629e+17,neutral, help i was on  flight  27 from jkf tonight seat 7c left portfolio need it back
5.68627e+17,neutral, shrinerack seattle bound wifey got me the duffle for vday shes a keeper holla
5.68609e+17,negative, my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage
5.68608e+17,neutral, debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks
5.68605e+17,positive, thanks
5.68605e+17,positive, thanks for taking care of suuperg on her flight rockstars travel
5.68603e+17,positive, thanks for the lovely soft views travel san to sfo
5.68596e+17,negative, i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this
5.68585e+17,negative, just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying
5.6858e+17,neutral, many thanks for the follow ourprincess freyasfund usa bandie  looking for any help
5.68577e+17,neutral, nice lofty view flylaxairport silverstatus
5.68577e+17,negative, applied for status match on feb 1 got confirmation email same day still no news though you guys have dropped ball late flightly
5.68572e+17,neutral, is my new go to airline
5.68572e+17,neutral, virginatlantic gma   can you help ourprincess in need of some help in usa
5.68554e+17,positive, i adore you and am so looking forward to my flight to austin in two weeks
5.68544e+17,positive, i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience
5.68541e+17,neutral, flight booking problems flight to uphold my status match  do taxes on ticket count as earned status points  statusmatch 
5.68537e+17,negative, trying to checkinbut looks like your site is down
5.68532e+17,negative, spending my birthday night with you daldca get me home
5.68527e+17,negative, sent a couple messages to the email you provided but to no avail will try again next year cheers
5.68525e+17,positive, first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline
5.68522e+17,negative, seriously though will there not be direct flights from sfofll in may
5.6852e+17,negative, its fine already done with my purchase but you should try it just go most of the way through then go back 3
5.68519e+17,negative, not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board
5.68518e+17,negative, wjere is our luggage so slow at lax
5.68517e+17,neutral, to jump into the dallas austin market
5.68512e+17,negative, i spoke with a representative that offered no solution i am a loyal customer who flies on virginatlantic as well
5.68511e+17,negative, i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email
5.68497e+17,negative, what happened to direct flights from sfofll looking in may only see connecting help dontdothistome
5.68496e+17,neutral, can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo
5.68493e+17,neutral, partners with visa checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa
5.68491e+17,positive, just promoting the product is all had a problem with southwest and recommend noneother than the best
5.6849e+17,positive, love you guys but pls get some direct routes las to aus
5.68484e+17,neutral, i would like help with some flights please
5.68483e+17,neutral,bruh  giannilee turn down for what vxsafetydance
5.68482e+17,positive, of course i work for virginatlantic and im obsessed with the entire virgin family
5.68479e+17,positive, ok first time flying with you tonight
5.68477e+17,neutral, digging the swanky pink mood lighting during the flight from nyc to sfo  just needs a cabaret singer  think about it
5.68473e+17,neutral, done but i need the receipt asap could you please help 150219000114
5.6847e+17,negative, i have 2d and 3d embossed badges and patches superior to the ones you are currently using
5.68464e+17,negative, on vx399 from jfk to la  dirty plane  not up to your standards
5.68463e+17,negative, on flight vx399 headed to la from jfk  dirtiest va plane i have ever been on sad for a great airline
5.68461e+17,positive, got it squared away someone picked up as soon as i tweeted should have tweeted sooner
5.68459e+17,negative, your avis rental continue button doesnt work on your website to book car tried 4 times on phone  this sucks
5.68457e+17,negative, delayed to1030
5.68456e+17,negative, currently in minute 10 of being on hold with cust service do i need to do anything to add a lap child to my reservation
5.68453e+17,neutral, adds pillows instead of lieflat seats in first class arms race   by skift
5.68452e+17,positive, karinslee of course have fun celebrating thanks happy chinese new year
5.68451e+17,positive,  flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys
5.68447e+17,negative, comenity bank is a joke  please change  nothing but constant problems with this bank
5.6844e+17,neutral, i just did how can i dm do u have to also add me
