Issue Type,Summary,Parent,Epic Link,Story Points,Sprint,Labels,Description,Assignee
Story,US-08: Stockage PostgreSQL,EPIC-03,EPIC-03,4,Sprint 2,apips-db,"Tables + insertion",,
Task,TASK-03.06: Créer tables PostgreSQL,US-08,EPIC-03,1,Sprint 2,apips-db,"SQLAlchemy models",,
Task,TASK-03.07: Script insertion données (Load ETL),US-08,EPIC-03,1,Sprint 2,apips-etl,"Bulk insert",,
Task,TASK-03.08: Documentation dataset + RGPD,US-08,EPIC-03,1,Sprint 2,apips-docs,"README + schema",,
Story,US-09: Score fatigue 0-100,EPIC-04,EPIC-04,8,Sprint 3,apips-ml-fatigue,"RandomForest/XGBoost",,
Task,TASK-04.01: Préparation dataset fatigue,US-09,EPIC-04,1,Sprint 3,apips-ml,"Train/test split",,
Task,TASK-04.02: Baseline RandomForest fatigue,US-09,EPIC-04,2,Sprint 3,apips-ml,"Scikit-learn",,
Task,TASK-04.03: XGBoost fatigue + optimisation,US-09,EPIC-04,2,Sprint 3,apips-ml,"GridSearchCV",,
Task,TASK-04.04: Métriques (MAE, R²) + courbes apprentissage,US-09,EPIC-04,1,Sprint 3,apips-ml,"Matplotlib",,
Task,TASK-04.05: Sauvegarde modèle pickle,US-09,EPIC-04,0.5,Sprint 3,apips-ml,"joblib.dump",,
Story,US-10: Prédiction blessures,EPIC-04,EPIC-04,7,Sprint 3,apips-ml-injury,"XGBoost + ROC-AUC",,
Task,TASK-04.06: Préparation dataset blessures,US-10,EPIC-04,1,Sprint 3,apips-ml,"SMOTE oversampling",,
Task,TASK-04.07: XGBoost classification blessures,US-10,EPIC-04,2,Sprint 3,apips-ml,"Class_weight",,
Task,TASK-04.08: Métriques (ROC-AUC, F1, Recall),US-10,EPIC-04,1,Sprint 3,apips-ml,"sklearn.metrics",,
Task,TASK-04.09: Explicabilité (feature importance),US-10,EPIC-04,1,Sprint 3,apips-ml,"SHAP plot",,
Task,TASK-04.10: Sauvegarde modèle,US-10,EPIC-04,0.5,Sprint 3,apips-ml,"joblib.dump",,
Story,US-11: Clustering profils,EPIC-04,EPIC-04,5,Sprint 4,apips-ml-cluster,"K-means + PCA",,
Task,TASK-04.11: Préparation dataset clustering,US-11,EPIC-04,1,Sprint 4,apips-ml,"StandardScaler",,
Task,TASK-04.12: K-means (3-5 clusters) + elbow method,US-11,EPIC-04,1,Sprint 4,apips-ml,"Silhouette score",,
Task,TASK-04.13: Visualisation clusters (PCA 2D),US-11,EPIC-04,1,Sprint 4,apips-ml,"Plotly",,
Task,TASK-04.14: Sauvegarde modèle,US-11,EPIC-04,0.5,Sprint 4,apips-ml,"joblib.dump",,
Story,US-12: Rapport NLP simple,EPIC-04,EPIC-04,5,Sprint 4,apips-nlp,"OpenAI API + template",,
Task,TASK-04.15: Template rapport règles-based,US-12,EPIC-04,1,Sprint 4,apips-nlp,"Jinja2",,
Task,TASK-04.16: Intégration OpenAI API (rapport),US-12,EPIC-04,1,Sprint 4,apips-nlp,"openai-python",,
Task,TASK-04.17: Benchmark OpenAI vs HF (latence/prix),US-12,EPIC-04,1,Sprint 4,apips-nlp,"Tableau comparatif",,
Story,US-13: Endpoints sécurisés FastAPI,EPIC-05,EPIC-05,5,Sprint 5,apips-api-auth,"JWT + middleware",,
Task,TASK-05.01: Setup FastAPI + CORS,US-13,EPIC-05,1,Sprint 5,apips-api,"uvicorn",,
Task,TASK-05.02: Auth JWT (login/register),US-
